Países,Quantidade (Kg),Valor (US$)
África do Sul,-,-
"Alemanha, República Democrática da",96,91
Angola,1.895,1.553
Antígua e Barbuda,48,53
Antilhas Holandesas,-,-
Arábia Saudita,-,-
Argélia,16,33
Argentina,795,3.458
Aruba,-,-
Austrália,580,2.193
Áustria,-,-
Bahamas,12,13
Bangladesh,-,-
Barbados,-,-
Barein,-,-
Bélgica,27,54
Belize,-,-
Benin,-,-
Bermudas,-,-
Birmânia,-,-
Bolívia,612,1.207
Brasil,-,-
Bulgária,-,-
Cabo Verde,180,330
Camarões,-,-
Canadá,9.486,11.200
Catar,-,-
"Cayman, Ilhas",-,-
Chile,1.788,2.344
China,23.937,47.152
Chipre,161,226
Cingapura,908,1.354
Colômbia,-,-
Congo,-,-
Coreia do Sul,-,-
Costa do Marfim,-,-
Costa Rica,-,-
Coveite,-,-
Cuba,-,-
Curaçao,948,1.755
Dinamarca,72,229
"Dominica, Ilha de",35,44
El Salvador,-,-
Emirados Árabes Unidos,-,-
Equador,-,-
Espanha,-,-
Estados Unidos,27.645,56.911
Falkland (Malvinas),50,66
Filipinas,24,22
Finlândia,-,-
França,-,-
Gabão,-,-
Gana,-,-
Gibraltar,-,-
Granada,-,-
Grécia,72,74
Guatemala,-,-
Guiana,-,-
Guiana Francesa,-,-
Guiné Bissau,-,-
Guine Equatorial,-,-
Haiti,-,-
Hong Kong,16.170,24.239
Hungria,-,-
Ilha de Man,-,-
India,48,41
Indonésia,-,-
Irã,-,-
Iraque,-,-
Irlanda,-,-
Israel,-,-
Itália,-,-
Iugoslâvia,-,-
Jamaica,-,-
Japão,1.006.241,2.379.350
Líbano,-,-
Libéria,336,326
Líbia,-,-
Luxemburgo,-,-
Malásia,-,-
Malta,41,105
"Marshall, Ilhas",492,678
Mauritânia,-,-
México,24.173,66.078
Moçambique,-,-
Mônaco,-,-
Montenegro,-,-
Namíbia,-,-
Nigéria,-,-
Noruega,501,727
Nova Caledônia,-,-
Nova Zelândia,9.275,24.115
Países Baixos,97,130
Panamá,534,734
Paquistão,-,-
Paraguai,128.378,168.205
Peru,-,-
Polônia,-,-
Porto Rico,-,-
Portugal,2.082,2.803
Quênia,-,-
Reino Unido,8.216,15.433
República Centro Africana,-,-
República Dominicana,29.680,113.081
República Federativa da Rússia,-,-
Rússia,-,-
São Tomé e Príncipe,-,-
Senegal,-,-
Serra Leoa,12,13
Singapura,-,-
Sri Lanka,-,-
Suécia,-,-
Suíça,5,4
Suriname,-,-
Tailândia,96,108
Taiwan (Formosa),1.809,4.834
Tanzânia,-,-
"Tcheca, República",-,-
Togo,-,-
Toquelau,-,-
Trinidade e Tobago,-,-
Turquia,108,100
Uruguai,-,-
Vanuatu,-,-
Venezuela,-,-
Total,1.297.681,2.931.466
