Países,Quantidade (Kg),Valor (US$)
Afeganistão,40.000,65.452
África do Sul,270.875,763.921
"Alemanha, República Democrática",-,-
Arábia Saudita,-,-
Argentina,24.135.143,48.810.789
Austrália,-,-
Bélgica,-,-
Chile,384.437,1.096.176
China,-,-
China Continental,934.000,1.352.954
Cingapura,-,-
Costa Rica,-,-
Emirados,-,-
Egito,-,-
Espanha,1,24
Estados Unidos,90.132,345.044
França,-,-
Grécia,-,-
Guiana Britânica,-,-
Índia,481.000,677.056
Irã,646.000,1.369.316
Itália,-,-
Japão,-,-
México,-,-
Países Baixos,-,-
Paraguai,-,-
Peru,-,-
Portugal,0,2
Reino Unido,11,209
Suécia,-,-
Turquia,427.590,865.709
Uruguai,-,-
Uzbequistão,399.630,624.285
Venezuela,-,-
Não consta na tabela,-,-
Outros,-,-
Total,27.808.819,55.970.937
