Países,Quantidade (Kg),Valor (US$)
Afeganistão,-,-
África do Sul,311.500,885.384
"Alemanha, República Democrática",-,-
Arábia Saudita,-,-
Argentina,24.315.391,48.952.314
Austrália,-,-
Bélgica,-,-
Chile,1.167.678,2.255.454
China,183.000,295.638
China Continental,-,-
Cingapura,-,-
Costa Rica,-,-
Emirados,-,-
Egito,23.200,32.977
Espanha,-,-
Estados Unidos,6.538,50.133
França,-,-
Grécia,-,-
Guiana Britânica,-,-
Índia,1.314.498,1.822.893
Irã,1.253.000,3.400.302
Itália,-,-
Japão,-,-
México,100.000,183.960
Países Baixos,-,-
Paraguai,-,-
Peru,115.000,176.616
Portugal,-,-
Reino Unido,-,-
Suécia,-,-
Turquia,129.025,319.659
Uruguai,-,-
Uzbequistão,2.279.000,3.221.519
Venezuela,-,-
Não consta na tabela,-,-
Outros,-,-
Total,31.197.830,61.596.849
