Países,Quantidade (Kg),Valor (US$)
Afeganistão,18.000,32.600
África do Sul,-,-
"Alemanha, República Democrática",-,-
Arábia Saudita,-,-
Argentina,20.571.302,47.105.230
Austrália,-,-
Bélgica,-,-
Chile,453.310,1.123.963
China,-,-
China Continental,100.027,193.223
Cingapura,40.000,77.213
Costa Rica,-,-
Emirados,240.800,442.625
Egito,-,-
Espanha,-,-
Estados Unidos,538.319,1.622.047
França,720,6.016
Grécia,-,-
Guiana Britânica,-,-
Índia,36.000,64.213
Irã,1.415.828,2.617.493
Itália,-,-
Japão,-,-
México,-,-
Países Baixos,-,-
Paraguai,-,-
Peru,-,-
Portugal,-,-
Reino Unido,-,-
Suécia,-,-
Turquia,-,-
Uruguai,-,-
Uzbequistão,-,-
Venezuela,-,-
Não consta na tabela,-,-
Outros,-,-
Total,23.414.306,53.284.623
