Países,Quantidade (Kg),Valor (US$)
Afeganistão,-,-
África do Sul,986.750,3.527.083
"Alemanha, República Democrática",-,-
Arábia Saudita,-,-
Argentina,19.728.826,43.648.893
Austrália,-,-
Bélgica,-,-
Chile,2.046.530,5.049.441
China,-,-
China Continental,63.000,216.812
Cingapura,-,-
Costa Rica,-,-
Emirados,19.000,70.026
Egito,-,-
Espanha,-,-
Estados Unidos,512.716,1.619.257
França,1.474,12.148
Grécia,-,-
Guiana Britânica,-,-
Índia,166.862,268.758
Irã,306.700,995.038
Itália,-,-
Japão,-,-
México,-,-
Países Baixos,-,-
Paraguai,-,-
Peru,-,-
Portugal,-,-
Reino Unido,-,-
Suécia,-,-
Turquia,709.785,1.161.161
Uruguai,-,-
Uzbequistão,71.900,127.883
Venezuela,-,-
Não consta na tabela,-,-
Outros,-,-
Total,24.613.543,56.696.500
