Países,Quantidade (Kg),Valor (US$)
Afeganistão,-,-
África do Sul,-,-
"Alemanha, República Democrática",7.630,45.367
Angola,4.068,4.761
Anguilla,-,-
Antígua e Barbuda,419,1.866
Antilhas Holandesas,-,-
Arábia Saudita,-,-
Argélia,-,-
Argentina,480,3.232
Aruba,-,-
Austrália,1.424,12.299
Áustria,6,212
Bahamas,1.215,5.799
Bangladesh,7,84
Barbados,220,1.145
Barein,979,2.789
Bélgica,828,6.145
Belice,-,-
Benin,-,-
Bermudas,-,-
Bolívia,32.530,49.011
Bósnia-Herzegovina,-,-
Brasil,2.504,952
Bulgária,5,31
Cabo Verde,-,-
Camarões,-,-
Canadá,1.183,5.784
Catar,-,-
"Cayman, Ilhas",160,958
Chile,2.094,7.986
China,105.395,404.647
Chipre,1.521,4.458
Cingapura,-,-
"Cocos (Keeling), Ilhas",26,60
Colômbia,8.217,14.068
Comores,-,-
Congo,-,-
"Coreia, Republica Sul",77,257
Costa do Marfim,-,-
Costa Rica,-,-
Coveite (Kuweit),-,-
Croácia,34,484
Cuba,16,6
Curaçao,40.673,66.950
Dinamarca,2,6
Dominica,1.485,2.223
El Salvador,-,-
Emirados Arabes Unidos,4.781,85.465
Equador,135,210
"Eslovaca, Republica",-,-
Espanha,-,-
Estados Unidos,220.373,447.893
Estônia,-,-
Filipinas,375,790
Finlândia,-,-
França,5.694,25.008
Gabão,-,-
Gana,35.949,49.304
Gibraltar,-,-
Granada,5.610,7.914
Grécia,920,2.426
Guatemala,1.283,5.350
Guiana,2.064,5.823
Guiana Francesa,22,18
Guine Bissau,-,-
Guine Equatorial,-,-
Haiti,553.503,741.014
Honduras,-,-
Hong Kong,9.371,38.218
Hungria,-,-
Ilha de Man,165,641
Ilhas Virgens,-,-
Índia,247,1.021
Indonésia,-,-
Irã,47,90
Iraque,-,-
Irlanda,-,-
Itália,1.129,6.151
Jamaica,-,-
Japão,37.324,82.208
Jordânia,-,-
Letônia,-,-
Líbano,-,-
Libéria,9.145,34.815
Luxemburgo,36,802
Macau,-,-
Malásia,-,-
Malavi,-,-
Malta,3.127,15.587
"Marshall, Ilhas",7.240,27.178
Martinica,-,-
Mauritânia,-,-
México,6,33
Moçambique,383,1.927
Montenegro,-,-
Namíbia,-,-
Nicarágua,-,-
Nigéria,32.234,50.283
Noruega,2.711,40.316
Nova Caledônia,-,-
Nova Zelândia,63,156
Omã,194,670
Países Baixos,7.034,37.240
Palau,-,-
Panamá,11.490,49.392
Paraguai,5.076.670,7.156.293
Peru,-,-
Pitcairn,-,-
Polônia,-,-
Porto Rico,-,-
Portugal,1.918,7.613
Quênia,1.440,2.080
Reino Unido,18.835,138.154
República Dominicana,-,-
Rússia,66.046,118.618
São Cristóvão e Névis,-,-
São Tomé e Príncipe,-,-
São Vicente e Granadinas,20,51
Senegal,-,-
Serra Leoa,8.101,15.182
Sérvia,-,-
Singapura,4.322,15.434
Suazilândia,-,-
Suécia,5,18
Suíça,1.584,20.863
Suriname,1.225,3.360
Tailândia,432,1.713
Taiwan (Formosa),25,277
Tanzânia,-,-
"Tcheca, República",1.305,9.997
Togo,17.317,25.608
Toquelau,-,-
Trinidade Tobago,-,-
Tunísia,-,-
Turquia,418,503
Tuvalu,-,-
Uruguai,637.117,997.367
Vanuatu,-,-
Venezuela,23.220,32.351
Vietnã,130,277
Total,7.025.983,10.945.282
