Países,Quantidade (Kg),Valor (US$)
Africa do Sul,38.796,34.605
Alemanha,-,-
Argentina,-,-
Austria,3.264,3.254
Canadá,-,-
"Coreia do Sul, República",130.902,136.380
"Coreia do Norte, República",-,-
Chile,-,-
China,-,-
Dinamarca,-,-
Espanha,-,-
Estados Unidos,12.487,13.866
França,-,-
Guiana,-,-
Israel,-,-
itália,-,-
Japão,-,-
Líbano,-,-
México,-,-
Países Baixos,-,-
Panamá,-,-
Peru,-,-
Portugal,-,-
Reino Unido,1.632,1.016
Taiwan,-,-
Turquia,-,-
Uruguai,5.786,4.989
Venezuela,-,-
Outros,-,-
Total,192.867,194.110
