Países,Quantidade (Kg),Valor (US$)
Africa do Sul,37.353,31.729
Alemanha,-,-
Argentina,108.000,138.240
Austria,-,-
Canadá,-,-
"Coreia do Sul, República",15.080,18.097
"Coreia do Norte, República",-,-
Chile,1.015.000,3.003.445
China,-,-
Dinamarca,-,-
Espanha,-,-
Estados Unidos,10.657,17.793
França,-,-
Guiana,-,-
Israel,1.125,1.684
itália,-,-
Japão,-,-
Líbano,-,-
México,-,-
Países Baixos,-,-
Panamá,-,-
Peru,-,-
Portugal,-,-
Reino Unido,-,-
Taiwan,-,-
Turquia,-,-
Uruguai,2.139,1.783
Venezuela,-,-
Outros,-,-
Total,1.189.354,3.212.771
