Países,Quantidade (Kg),Valor (US$)
Africa do Sul,21.618,18.334
Alemanha,80,652
Argentina,2.998,3.139
Austria,-,-
Canadá,-,-
"Coreia do Sul, República",77.955,99.441
"Coreia do Norte, República",-,-
Chile,-,-
China,-,-
Dinamarca,-,-
Espanha,422,806
Estados Unidos,14.541,8.226
França,-,-
Guiana,-,-
Israel,840,1.034
itália,-,-
Japão,-,-
Líbano,-,-
México,-,-
Países Baixos,-,-
Panamá,-,-
Peru,-,-
Portugal,-,-
Reino Unido,-,-
Taiwan,-,-
Turquia,-,-
Uruguai,225,600
Venezuela,-,-
Outros,-,-
Total,118.679,132.232
