Países,Quantidade (Kg),Valor (US$)
Africa do Sul,8,30
"Alemanha, República Democrática",1.863.097,3.480.290
Angola,75,145
Antígua e Barbuda,190,580
Arabia Saudita,167.731,271.231
Argélia,-,-
Argentina,1.186.878,1.758.528
Áustria,-,-
Bahamas,2.869,9.184
Bahrein,-,-
Bangladesh,-,-
Barbados,110,354
Barein,958,3.353
Bélgica,176.918,336.252
Belize,20,48
Bermudas,228,1.047
Bolívia,-,-
Bósnia,52,67
Brasil,18,62
Bulgária,-,-
Burquina Faso,10,37
Cabo Verde,-,-
Camarões,-,-
Camores,20,75
Canadá,24.565,220.025
Catar,81,298
"Cayman, Ilhas",216,638
Chile,189,457
China,1.113,3.171
Chipre,2.173,6.326
Cingapura,7.081,23.803
"Cocos (Keeling), Ilhas",-,-
"Cook, Ilhas",-,-
Colômbia,-,-
Congo,-,-
Coreia do Norte,-,-
Coreia do Sul,270,620
Costa do Marfim,16,34
Coveite,-,-
Croácia,-,-
Curaçao,-,-
Dinamarca,56.095,130.520
Djibuti,-,-
Egito,20,97
Emirados Árabes Unidos,240.422,697.259
Eslovênia,-,-
Espanha,1.094.483,2.089.713
Estados Unidos,6.117.999,16.239.149
Falkland (Ilhas Malvinas),20,69
"Faroé, Ilhas",-,-
Filipinas,594,1.849
Finlândia,-,-
França,3.091,12.062
Gabão,-,-
Gana,-,-
Georgia,26.928,56.010
Gibraltar,231,755
Grécia,2.650,7.171
Guadalupe,-,-
Guiana,-,-
Guiana Francesa,-,-
Guiné-Bissau,-,-
Guine Equatorial,-,-
Honduras,-,-
Hong Kong,18.566,118.440
Ilha de Man,150,440
Ilhas Virgens,-,-
Índia,560,1.634
Indonésia,-,-
Irã,509,1.013
Iraque,-,-
Irlanda,514.814,1.113.084
Islândia,-,-
Itália,154,387
Japão,721,2.182
Jérsei,24,58
Jordânia,265,171
Letônia,30,55
Líbano,85,177
Libéria,9.242,29.430
Líbia,20,44
Lituânia,-,-
Luxemburgo,7,19
Macedônia,-,-
Malásia,20,58
Malta,4.094,11.635
"Marianas do Norte, Ilhas",-,-
Marrocos,-,-
"Marshall, Ilhas",9.668,30.841
Martinica,-,-
Mauricio,-,-
Mauritânia,-,-
Mexico,-,-
Mônaco,20,29
Mongólia,-,-
Montenegro,-,-
Nigéria,-,-
Noruega,277.423,638.830
Omã,60,193
Países Baixos,19.526.035,36.061.578
Palau,-,-
Panamá,8.349,25.288
Paquistão,-,-
Paraguai,-,-
Pitcairn,-,-
Polônia,20,53
Porto Rico,-,-
Portugal,945,3.146
Quirguistão,-,-
Reino Unido,13.501.346,29.677.591
Republica Dominicana,-,-
Romênia,-,-
"Rússia,  Federação da",48.084,101.082
Samoa Americana,-,-
São Cristóvão e Névis,-,-
São Tomé e Príncipe,-,-
São Vicente e Granadinas,-,-
Serra Leoa,-,-
Senegal,-,-
Singapura,-,-
Sri Lanka,32,80
Suazilândia,-,-
Suécia,72.036,156.611
Suíça,472,3.661
Suriname,-,-
Tailândia,879,3.629
Taiwan,-,-
Tanzânia,-,-
Togo,13,52
Trindade e Tobago,-,-
Tunísia,-,-
"Turcas e Caicos, ilhas",10,23
Turquia,485,1.399
Tuvalu,6,23
Uruguai,81.440,98.329
Vanuatu,-,-
Venezuela,-,-
Vietnã,-,-
"Wallis e Futuna, Ilhas",-,-
Provisão de Navios e Aeronaves,-,-
Total,45.054.003,93.432.574
