Países,Quantidade (Kg),Valor (US$)
África do Sul,34.344,49.753
"Alemanha, República Democrática da",5,24
Angola,86.536,91.839
Antígua e Barbuda,48,57
Antilhas Holandesas,-,-
Arábia Saudita,-,-
Argélia,-,-
Argentina,1.060,4.845
Aruba,-,-
Austrália,15.499,34.539
Áustria,-,-
Bahamas,1.374,2.511
Bangladesh,48,68
Barbados,153,362
Barein,24,7
Bélgica,3.210,7.586
Belize,45,333
Benin,-,-
Bermudas,-,-
Birmânia,-,-
Bolívia,22.695,29.041
Brasil,-,-
Bulgária,-,-
Cabo Verde,-,-
Camarões,-,-
Canadá,43.210,105.551
Catar,-,-
"Cayman, Ilhas",396,445
Chile,2.923,1.932
China,1.212.412,2.226.651
Chipre,114,142
Cingapura,-,-
Colômbia,-,-
Congo,-,-
Coreia do Sul,39.780,64.740
Costa do Marfim,-,-
Costa Rica,-,-
Coveite,-,-
Cuba,-,-
Curaçao,403,802
Dinamarca,36,27
"Dominica, Ilha de",-,-
El Salvador,-,-
Emirados Árabes Unidos,-,-
Equador,13.800,17.716
Espanha,-,-
Estados Unidos,431.004,848.282
Falkland (Malvinas),-,-
Filipinas,12.389,12.734
Finlândia,45,89
França,2,1
Gabão,-,-
Gana,35.559,55.463
Gibraltar,48,46
Granada,120,167
Grécia,144,160
Guatemala,-,-
Guiana,6,19
Guiana Francesa,90,46
Guiné Bissau,-,-
Guine Equatorial,-,-
Haiti,267,36
Hong Kong,15.159,28.840
Hungria,-,-
Ilha de Man,24,25
India,220,496
Indonésia,-,-
Irã,-,-
Iraque,-,-
Irlanda,3.728,5.977
Israel,-,-
Itália,6.120,13.764
Iugoslâvia,-,-
Jamaica,-,-
Japão,2.187.768,4.777.682
Líbano,-,-
Libéria,1.618,2.054
Líbia,265.152,278.404
Luxemburgo,24,23
Malásia,16.695,36.729
Malta,915,1.564
"Marshall, Ilhas",4.002,6.122
Mauritânia,-,-
México,4.516,10.837
Moçambique,-,-
Mônaco,-,-
Montenegro,-,-
Namíbia,-,-
Nigéria,1.530,2.430
Noruega,590,1.034
Nova Caledônia,-,-
Nova Zelândia,791,1.741
Países Baixos,793,1.498
Panamá,5.146,8.912
Paquistão,-,-
Paraguai,167.679,196.541
Peru,38.173,81.563
Polônia,-,-
Porto Rico,24.380,53.636
Portugal,146.637,133.524
Quênia,-,-
Reino Unido,6.412,13.508
República Centro Africana,-,-
República Dominicana,25.440,80.791
República Federativa da Rússia,-,-
Rússia,24,37
São Tomé e Príncipe,-,-
Senegal,-,-
Serra Leoa,-,-
Singapura,1.449,2.509
Sri Lanka,-,-
Suécia,-,-
Suíça,144,155
Suriname,2.650,6.758
Tailândia,-,-
Taiwan (Formosa),33.375,93.988
Tanzânia,-,-
"Tcheca, República",-,-
Togo,-,-
Toquelau,-,-
Trinidade e Tobago,-,-
Turquia,-,-
Uruguai,-,-
Vanuatu,12,9
Venezuela,-,-
Total,4.918.955,9.397.165
