Países,Quantidade (Kg),Valor (US$)
África do Sul,-,-
"Alemanha, República Democrática da",6,17
Angola,4.974,9.112
Antígua e Barbuda,-,-
Antilhas Holandesas,-,-
Arábia Saudita,-,-
Argélia,-,-
Argentina,3.442,14.538
Aruba,-,-
Austrália,32.777,74.303
Áustria,-,-
Bahamas,564,1.095
Bangladesh,264,238
Barbados,10,51
Barein,-,-
Bélgica,456,998
Belize,-,-
Benin,-,-
Bermudas,-,-
Birmânia,-,-
Bolívia,6.480,10.627
Brasil,48,185
Bulgária,60,53
Cabo Verde,-,-
Camarões,-,-
Canadá,17.109,30.567
Catar,-,-
"Cayman, Ilhas",-,-
Chile,8.511,14.657
China,746.864,1.659.818
Chipre,216,264
Cingapura,-,-
Colômbia,-,-
Congo,-,-
Coreia do Sul,6,16
Costa do Marfim,-,-
Costa Rica,-,-
Coveite,-,-
Cuba,-,-
Curaçao,972,1.463
Dinamarca,146,166
"Dominica, Ilha de",90,179
El Salvador,-,-
Emirados Árabes Unidos,66.877,105.971
Equador,-,-
Espanha,47.520,24.509
Estados Unidos,552.035,1.071.771
Falkland (Malvinas),-,-
Filipinas,65,111
Finlândia,-,-
França,89,151
Gabão,168,386
Gana,126.350,239.966
Gibraltar,-,-
Granada,-,-
Grécia,71,135
Guatemala,-,-
Guiana,22,14
Guiana Francesa,-,-
Guiné Bissau,-,-
Guine Equatorial,-,-
Haiti,-,-
Hong Kong,1.358,1.700
Hungria,-,-
Ilha de Man,216,322
India,12,27
Indonésia,-,-
Irã,-,-
Iraque,-,-
Irlanda,9.360,14.504
Israel,-,-
Itália,4.272,4.983
Iugoslâvia,-,-
Jamaica,-,-
Japão,1.496.253,4.313.266
Líbano,-,-
Libéria,1.848,2.868
Líbia,-,-
Luxemburgo,-,-
Malásia,-,-
Malta,790,1.551
"Marshall, Ilhas",3.714,5.902
Mauritânia,-,-
México,242,307
Moçambique,-,-
Mônaco,-,-
Montenegro,-,-
Namíbia,-,-
Nigéria,11.058,23.518
Noruega,324,728
Nova Caledônia,-,-
Nova Zelândia,-,-
Países Baixos,6.019,9.817
Panamá,11.610,12.779
Paquistão,-,-
Paraguai,189.070,316.197
Peru,34.769,54.695
Polônia,-,-
Porto Rico,2.006,3.163
Portugal,9.467,21.614
Quênia,-,-
Reino Unido,4.606,9.865
República Centro Africana,-,-
República Dominicana,12.720,49.812
República Federativa da Rússia,-,-
Rússia,-,-
São Tomé e Príncipe,-,-
Senegal,-,-
Serra Leoa,-,-
Singapura,1.029,1.844
Sri Lanka,-,-
Suécia,-,-
Suíça,-,-
Suriname,12.455,42.347
Tailândia,24,43
Taiwan (Formosa),9.084,16.216
Tanzânia,-,-
"Tcheca, República",-,-
Togo,-,-
Toquelau,-,-
Trinidade e Tobago,-,-
Turquia,86,749
Uruguai,-,-
Vanuatu,-,-
Venezuela,18.972,37.214
Total,3.457.556,8.207.392
