Países,Quantidade (Kg),Valor (US$)
África do Sul,-,-
"Alemanha, República Democrática da",86,44
Angola,17.766,21.627
Antígua e Barbuda,36,25
Antilhas Holandesas,-,-
Arábia Saudita,-,-
Argélia,-,-
Argentina,5.140,8.209
Aruba,450,788
Austrália,1.638,3.939
Áustria,-,-
Bahamas,34,41
Bangladesh,-,-
Barbados,-,-
Barein,-,-
Bélgica,117,196
Belize,-,-
Benin,-,-
Bermudas,24,27
Birmânia,-,-
Bolívia,21.435,26.745
Brasil,-,-
Bulgária,-,-
Cabo Verde,270,224
Camarões,20,29
Canadá,14.943,19.320
Catar,5,47
"Cayman, Ilhas",-,-
Chile,5.320,6.612
China,240.845,413.169
Chipre,252,315
Cingapura,-,-
Colômbia,1,2
Congo,-,-
Coreia do Sul,-,-
Costa do Marfim,-,-
Costa Rica,-,-
Coveite,-,-
Cuba,-,-
Curaçao,1.727,2.012
Dinamarca,90,143
"Dominica, Ilha de",-,-
El Salvador,-,-
Emirados Árabes Unidos,396,455
Equador,14.268,21.675
Espanha,-,-
Estados Unidos,73.431,122.865
Falkland (Malvinas),-,-
Filipinas,109,95
Finlândia,-,-
França,12,38
Gabão,-,-
Gana,-,-
Gibraltar,-,-
Granada,-,-
Grécia,392,371
Guatemala,-,-
Guiana,350,1.078
Guiana Francesa,-,-
Guiné Bissau,-,-
Guine Equatorial,-,-
Haiti,420,438
Hong Kong,1.170,1.126
Hungria,-,-
Ilha de Man,24,22
India,-,-
Indonésia,-,-
Irã,150,206
Iraque,-,-
Irlanda,-,-
Israel,-,-
Itália,-,-
Iugoslâvia,-,-
Jamaica,-,-
Japão,481.953,1.128.364
Líbano,9,4
Libéria,842,1.194
Líbia,16.587,22.232
Luxemburgo,-,-
Malásia,10.070,22.066
Malta,2.364,2.825
"Marshall, Ilhas",1.479,1.844
Mauritânia,-,-
México,46.857,112.458
Moçambique,-,-
Mônaco,36,37
Montenegro,-,-
Namíbia,-,-
Nigéria,-,-
Noruega,554,580
Nova Caledônia,-,-
Nova Zelândia,-,-
Países Baixos,84,109
Panamá,1.335,1.714
Paquistão,-,-
Paraguai,216.654,228.263
Peru,-,-
Polônia,-,-
Porto Rico,-,-
Portugal,105.284,96.479
Quênia,-,-
Reino Unido,1.464,2.373
República Centro Africana,-,-
República Dominicana,14.840,56.540
República Federativa da Rússia,-,-
Rússia,-,-
São Tomé e Príncipe,-,-
Senegal,-,-
Serra Leoa,-,-
Singapura,3.526,12.989
Sri Lanka,-,-
Suécia,-,-
Suíça,-,-
Suriname,13.030,31.236
Tailândia,1.278,5.183
Taiwan (Formosa),58.358,107.799
Tanzânia,-,-
"Tcheca, República",-,-
Togo,-,-
Toquelau,-,-
Trinidade e Tobago,-,-
Turquia,48,54
Uruguai,-,-
Vanuatu,-,-
Venezuela,240,230
Total,1.377.813,2.486.456
