Países,Quantidade (Kg),Valor (US$)
África do Sul,2,44
Alemanha,162,1.542
Angola,56.242,315.073
Antigua e Barbuda,24,100
Antilhas Holandesas,-,-
Argentina,8.593,73.239
Aruba,-,-
Australia,10,6
Bahamas,65,268
Bangladesh,-,-
Barbados,32,219
Belgica,-,-
Benin,3,19
Bermudas,-,-
Bolívia,11.410,34.481
Bósnia-Herzegovina,-,-
Bulgaria,-,-
Cabo Verde,-,-
Camarões,-,-
Canada,4.068,15.427
Catar,-,-
"Cayman, Ilhas",5,33
Chile,3.532,15.875
China,16.285,47.822
Chipre,188,707
Cingapura,-,-
Colombia,1.926,6.898
"Coreia do Sul, Republica da",74,222
Costa Rica,-,-
Cuba,-,-
Curaçao,1.288,6.539
Dinamarca,2.790,26.359
Djibuti,-,-
Dominica,-,-
El Salvador,-,-
Emirados Arabes Unidos,126,622
Equador,540,2.000
Espanha,45,853
Estados Unidos,255.198,729.055
Estonia,-,-
Falkland (Malvinas),-,-
Filipinas,20,111
Filânldia,180,1.770
França,-,-
Gana,4.719,35.778
Gibraltar,-,-
Granada,-,-
Grécia,59,320
Guatemala,-,-
Guiana,14.084,71.163
Guiné Equatorial,-,-
Guiné-Bissau,-,-
Haiti,3.969,10.646
Honduras,-,-
Hong Kong,1.355,5.169
Hungria,-,-
Ilha de Man,-,-
Índia,-,-
Iraque,-,-
Irlanda,-,-
Islândia,-,-
Itália,1.460,19.905
Japão,2.311,9.708
Jordânia,-,-
Letônia,-,-
Líbano,-,-
Libéria,973,3.358
Luxemburgo,18,305
Maldivas,4.577,20.204
Malta,1.472,44.498
Marrocos,-,-
"Marshall, Ilhas",1.375,4.886
Montenegro,-,-
México,-,-
Nicarágua,-,-
Nigéria,-,-
Noruega,-,-
Nova Zelândia,303,4.231
Países Baixos (Holanda),3,49
Panamá,7.936,43.115
Paraguai,64.662,192.975
Peru,108,756
Polônia,126,659
Porto Rico,-,-
Portugal,2.191,38.616
Quênia,-,-
Reino Unido,16.057,86.879
Republica Dominicana,-,-
Republica Tcheca,-,-
Rússia,-,-
Serra Leoa,271,1.287
Sérvia,-,-
Singapura,209,599
Suécia,-,-
Suíça,444,4.474
Suriname,-,-
Tailândia,7,43
Taiwan (Formosa),1.099,3.664
"Tcheca, República",167,1.236
Togo,-,-
Trinidade e Tobago,-,-
Turquia,6.930,26.566
Uruguai,2.812,14.352
Vanuatu,-,-
Venezuela,-,-
Vietnã,-,-
Outros(1),-,-
Total,502.505,1.924.725
