Países,Quantidade (Kg),Valor (US$)
África do Sul,-,-
Alemanha,1.003,5.466
Angola,1.007,3.615
Antigua e Barbuda,7,34
Antilhas Holandesas,-,-
Argentina,-,-
Aruba,-,-
Australia,180,800
Bahamas,18,79
Bangladesh,-,-
Barbados,-,-
Belgica,1.869,11.405
Benin,-,-
Bermudas,-,-
Bolívia,-,-
Bósnia-Herzegovina,10,53
Bulgaria,-,-
Cabo Verde,-,-
Camarões,-,-
Canada,2.185,8.228
Catar,41,3.502
"Cayman, Ilhas",15,43
Chile,-,-
China,26.247,91.922
Chipre,101,368
Cingapura,28.418,126.428
Colombia,804,2.185
"Coreia do Sul, Republica da",32,115
Costa Rica,-,-
Cuba,-,-
Curaçao,3.373,13.676
Dinamarca,96,230
Djibuti,-,-
Dominica,-,-
El Salvador,-,-
Emirados Arabes Unidos,33,164
Equador,2,3
Espanha,2,3
Estados Unidos,389.511,1.023.709
Estonia,-,-
Falkland (Malvinas),-,-
Filipinas,24,109
Filânldia,-,-
França,3.123,15.835
Gana,810,3.696
Gibraltar,43,85
Granada,-,-
Grécia,74,280
Guatemala,446,2.933
Guiana,-,-
Guiné Equatorial,-,-
Guiné-Bissau,-,-
Haiti,-,-
Honduras,-,-
Hong Kong,2.801,10.173
Hungria,-,-
Ilha de Man,-,-
Índia,18,40
Iraque,-,-
Irlanda,14,26
Islândia,-,-
Itália,522,2.445
Japão,10.242,41.567
Jordânia,-,-
Letônia,-,-
Líbano,29,108
Libéria,1.207,2.420
Luxemburgo,495,2.474
Maldivas,-,-
Malta,359,1.317
Marrocos,-,-
"Marshall, Ilhas",1.594,2.853
Montenegro,-,-
México,-,-
Nicarágua,-,-
Nigéria,1.809,7.513
Noruega,345,505
Nova Zelândia,-,-
Países Baixos (Holanda),432,923
Panamá,2.929,6.126
Paraguai,94.620,224.306
Peru,596,1.854
Polônia,18.810,57.107
Porto Rico,-,-
Portugal,1.288,15.933
Quênia,-,-
Reino Unido,11.049,54.428
Republica Dominicana,-,-
Republica Tcheca,-,-
Rússia,71.654,27.360
Serra Leoa,-,-
Sérvia,-,-
Singapura,-,-
Suécia,-,-
Suíça,2.704,8.959
Suriname,2,3
Tailândia,8,169
Taiwan (Formosa),5,6
"Tcheca, República",-,-
Togo,-,-
Trinidade e Tobago,-,-
Turquia,6,30
Uruguai,2.808,15.045
Vanuatu,-,-
Venezuela,450,2.670
Vietnã,-,-
Outros(1),-,-
Total,686.270,1.801.326
