Países,Quantidade (Kg),Valor (US$)
África do Sul,-,-
Alemanha,1.164,6.560
Angola,26.383,141.588
Antigua e Barbuda,65,146
Antilhas Holandesas,-,-
Argentina,-,-
Aruba,-,-
Australia,-,-
Bahamas,56,194
Bangladesh,-,-
Barbados,25,101
Belgica,-,-
Benin,-,-
Bermudas,12,58
Bolívia,22.307,70.416
Bósnia-Herzegovina,-,-
Bulgaria,-,-
Cabo Verde,-,-
Camarões,-,-
Canada,62,347
Catar,-,-
"Cayman, Ilhas",-,-
Chile,4,19
China,8.619,35.079
Chipre,382,931
Cingapura,-,-
Colombia,15.396,56.227
"Coreia do Sul, Republica da",10,30
Costa Rica,-,-
Cuba,-,-
Curaçao,3.487,15.494
Dinamarca,-,-
Djibuti,-,-
Dominica,594,1.461
El Salvador,-,-
Emirados Arabes Unidos,-,-
Equador,135,500
Espanha,-,-
Estados Unidos,732.209,1.964.451
Estonia,-,-
Falkland (Malvinas),360,2.081
Filipinas,77,389
Filânldia,-,-
França,772,4.308
Gana,12.729,58.137
Gibraltar,-,-
Granada,1.122,3.050
Grécia,38,177
Guatemala,284,1.527
Guiana,5.553,26.216
Guiné Equatorial,-,-
Guiné-Bissau,-,-
Haiti,4.842,9.417
Honduras,-,-
Hong Kong,1.175,5.328
Hungria,-,-
Ilha de Man,2,20
Índia,-,-
Iraque,-,-
Irlanda,6,22
Islândia,-,-
Itália,503,3.702
Japão,2.970,12.049
Jordânia,-,-
Letônia,-,-
Líbano,1.350,4.810
Libéria,1.105,3.367
Luxemburgo,-,-
Maldivas,3.221,10.680
Malta,191,822
Marrocos,-,-
"Marshall, Ilhas",1.154,3.438
Montenegro,-,-
México,-,-
Nicarágua,-,-
Nigéria,6.705,32.586
Noruega,483,9.852
Nova Zelândia,-,-
Países Baixos (Holanda),707,6.038
Panamá,3.092,32.540
Paraguai,48.160,183.187
Peru,-,-
Polônia,-,-
Porto Rico,-,-
Portugal,56,612
Quênia,-,-
Reino Unido,9.305,53.968
Republica Dominicana,-,-
Republica Tcheca,-,-
Rússia,990,5.280
Serra Leoa,225,1.165
Sérvia,-,-
Singapura,642,5.235
Suécia,-,-
Suíça,-,-
Suriname,-,-
Tailândia,17,107
Taiwan (Formosa),901,4.141
"Tcheca, República",-,-
Togo,-,-
Trinidade e Tobago,-,-
Turquia,2,17
Uruguai,10.200,87.895
Vanuatu,-,-
Venezuela,-,-
Vietnã,16,19
Outros(1),-,-
Total,929.865,2.865.784
