Países,Quantidade (Kg),Valor (US$)
Africa do Sul,20.213,123.099
Alemanha,810,8.800
Argentina,997.492,3.818.944
Austrália,45,174
Áustria,-,-
Bermudas,-,-
Bahamas,-,-
Bélgica,-,-
Brasil,6.210,52.984
Bulgária,-,-
Canada,-,-
Chile,66.639,248.691
Croácia,-,-
Cuba,-,-
Emirados Árabes Unidos,-,-
Eslovênia,-,-
Espanha,831.585,3.017.324
Estados Unidos,4.553,15.458
França,1.802.575,20.020.633
Geórgia,-,-
Granada,-,-
Grécia,-,-
Hong Kong,-,-
Hungria,-,-
Indonésia,-,-
Irlanda,-,-
Israel,990,11.627
Itália,1.137.610,4.966.429
Japão,-,-
Luxemburgo,-,-
México,-,-
Moldávia,-,-
Nova Zelândia,135,861
Países Baixos,-,-
Panamá,-,-
Peru,-,-
Portugal,53.756,317.547
Reino Unido,-,-
Romênia,-,-
Suíça,-,-
Tunísia,870,2.091
Ucrânia,-,-
Uruguai,135,932
Não consta na tabela,-,-
Não declarados,-,-
Outros,-,-
Total,4.923.618,32.605.594
