Países,Quantidade (Kg),Valor (US$)
Africa do Sul,3.574,14.542
Alemanha,21.174,65.359
Argentina,469.547,1.304.986
Austrália,7.426,15.190
Áustria,909,9.399
Bermudas,-,-
Bahamas,-,-
Bélgica,-,-
Brasil,3.491,106.310
Bulgária,-,-
Canada,-,-
Chile,253.225,775.535
Croácia,-,-
Cuba,-,-
Emirados Árabes Unidos,-,-
Eslovênia,68,327
Espanha,1.421.655,3.871.128
Estados Unidos,13.255,31.083
França,1.116.188,8.814.571
Geórgia,-,-
Granada,-,-
Grécia,-,-
Hong Kong,72,5.061
Hungria,765,2.061
Indonésia,-,-
Irlanda,-,-
Israel,296,9.540
Itália,1.524.542,3.544.718
Japão,-,-
Luxemburgo,-,-
México,-,-
Moldávia,-,-
Nova Zelândia,-,-
Países Baixos,3.412,151.690
Panamá,-,-
Peru,-,-
Portugal,102.324,324.099
Reino Unido,2.309,17.975
Romênia,-,-
Suíça,481,15.222
Tunísia,-,-
Ucrânia,-,-
Uruguai,2.908,18.124
Não consta na tabela,-,-
Não declarados,-,-
Outros,-,-
Total,4.947.621,19.096.920
