Países,Quantidade (Kg),Valor (US$)
Africa do Sul,6.980,36.677
Alemanha,19.977,46.237
Argentina,723.847,2.211.657
Austrália,8.062,26.208
Áustria,90,1.434
Bermudas,70,611
Bahamas,-,-
Bélgica,-,-
Brasil,548,3.488
Bulgária,-,-
Canada,-,-
Chile,232.948,686.466
Croácia,-,-
Cuba,-,-
Emirados Árabes Unidos,-,-
Eslovênia,450,2.426
Espanha,2.016.806,5.732.174
Estados Unidos,143,2.173
França,1.134.059,12.590.570
Geórgia,-,-
Granada,-,-
Grécia,92,422
Hong Kong,-,-
Hungria,1.142,2.471
Indonésia,-,-
Irlanda,-,-
Israel,-,-
Itália,1.093.108,3.142.129
Japão,-,-
Luxemburgo,-,-
México,-,-
Moldávia,-,-
Nova Zelândia,-,-
Países Baixos,-,-
Panamá,-,-
Peru,-,-
Portugal,65.238,277.677
Reino Unido,254,3.016
Romênia,432,2.271
Suíça,66,376
Tunísia,-,-
Ucrânia,-,-
Uruguai,8.947,47.217
Não consta na tabela,-,-
Não declarados,-,-
Outros,-,-
Total,5.313.259,24.815.700
