Países,Quantidade (Kg),Valor (US$)
Africa do Sul,2.018,19.706
Alemanha,15.168,46.600
Argentina,1.171.895,3.786.391
Austrália,15.891,26.618
Áustria,-,-
Bermudas,0,13
Bahamas,-,-
Bélgica,-,-
Brasil,338,3.090
Bulgária,-,-
Canada,161,2.038
Chile,718.033,2.187.643
Croácia,-,-
Cuba,-,-
Emirados Árabes Unidos,-,-
Eslovênia,-,-
Espanha,2.566.076,7.721.229
Estados Unidos,2.055,72.418
França,1.508.700,24.231.961
Geórgia,-,-
Granada,90,257
Grécia,89,1.058
Hong Kong,-,-
Hungria,13.452,27.750
Indonésia,-,-
Irlanda,-,-
Israel,-,-
Itália,1.040.554,3.741.555
Japão,349,1.504
Luxemburgo,12,104
México,-,-
Moldávia,1.494,4.569
Nova Zelândia,-,-
Países Baixos,-,-
Panamá,-,-
Peru,-,-
Portugal,89.226,356.974
Reino Unido,671,22.123
Romênia,743,3.843
Suíça,5,13
Tunísia,-,-
Ucrânia,-,-
Uruguai,2.383,11.651
Não consta na tabela,-,-
Não declarados,-,-
Outros,-,-
Total,7.149.403,42.269.108
