Países,Quantidade (Kg),Valor (US$)
Africa do Sul,7.650,69.382
Alemanha,322,5.111
Argentina,839.006,2.765.843
Austrália,3.150,10.474
Áustria,882,8.833
Bermudas,3,54
Bahamas,-,-
Bélgica,-,-
Brasil,7,184
Bulgária,-,-
Canada,23,279
Chile,592.991,1.952.709
Croácia,-,-
Cuba,-,-
Emirados Árabes Unidos,-,-
Eslovênia,-,-
Espanha,3.438.264,9.801.916
Estados Unidos,259,10.273
França,1.401.753,20.166.147
Geórgia,-,-
Granada,2,40
Grécia,300,1.757
Hong Kong,-,-
Hungria,-,-
Indonésia,-,-
Irlanda,-,-
Israel,-,-
Itália,952.639,3.533.749
Japão,-,-
Luxemburgo,-,-
México,-,-
Moldávia,955,1.165
Nova Zelândia,-,-
Países Baixos,-,-
Panamá,-,-
Peru,-,-
Portugal,95.326,386.265
Reino Unido,1.507,28.581
Romênia,743,3.841
Suíça,464,34.430
Tunísia,-,-
Ucrânia,-,-
Uruguai,10.814,45.704
Não consta na tabela,-,-
Não declarados,-,-
Outros,-,-
Total,7.347.060,38.826.737
