Países,Quantidade (Kg),Valor (US$)
Africa do Sul,9.882,64.582
Alemanha,12.447,26.877
Argentina,1.333.420,4.123.623
Austrália,-,-
Áustria,-,-
Bermudas,5,67
Bahamas,-,-
Bélgica,-,-
Brasil,-,-
Bulgária,976,1.535
Canada,54,1.017
Chile,342.625,959.421
Croácia,-,-
Cuba,-,-
Emirados Árabes Unidos,-,-
Eslovênia,803,2.982
Espanha,2.236.061,5.668.798
Estados Unidos,181,2.053
França,1.268.840,13.164.535
Geórgia,915,2.325
Granada,-,-
Grécia,92,366
Hong Kong,-,-
Hungria,2.090,3.828
Indonésia,-,-
Irlanda,-,-
Israel,-,-
Itália,1.169.909,3.356.633
Japão,-,-
Luxemburgo,-,-
México,-,-
Moldávia,2.892,3.713
Nova Zelândia,270,3.114
Países Baixos,-,-
Panamá,-,-
Peru,-,-
Portugal,103.443,391.952
Reino Unido,-,-
Romênia,1.914,5.007
Suíça,-,-
Tunísia,-,-
Ucrânia,1.330,1.616
Uruguai,1.206,5.579
Não consta na tabela,-,-
Não declarados,-,-
Outros,-,-
Total,6.489.355,27.789.623
