Países,Quantidade (Kg),Valor (US$)
Africa do Sul,24.954,133.975
Alemanha,1.260,9.975
Argentina,963.574,3.985.004
Austrália,-,-
Áustria,180,1.139
Bermudas,-,-
Bahamas,-,-
Bélgica,-,-
Brasil,60.601,313.190
Bulgária,-,-
Canada,-,-
Chile,137.790,484.791
Croácia,-,-
Cuba,-,-
Emirados Árabes Unidos,-,-
Eslovênia,78,221
Espanha,1.054.367,4.537.094
Estados Unidos,15.461,88.292
França,1.852.431,22.744.192
Geórgia,-,-
Granada,-,-
Grécia,-,-
Hong Kong,2.607,15.170
Hungria,404,1.317
Indonésia,-,-
Irlanda,-,-
Israel,310,6.552
Itália,1.123.066,4.953.550
Japão,-,-
Luxemburgo,252,1.115
México,-,-
Moldávia,-,-
Nova Zelândia,270,3.046
Países Baixos,-,-
Panamá,-,-
Peru,-,-
Portugal,77.260,382.541
Reino Unido,-,-
Romênia,-,-
Suíça,-,-
Tunísia,1.988,4.035
Ucrânia,-,-
Uruguai,87,600
Não consta na tabela,-,-
Não declarados,-,-
Outros,-,-
Total,5.316.940,37.665.799
