Países,Quantidade (Kg),Valor (US$)
Africa do Sul,8.121,37.035
Alemanha,1.116,5.753
Argentina,1.086.901,3.583.463
Austrália,-,-
Áustria,-,-
Bermudas,-,-
Bahamas,-,-
Bélgica,-,-
Brasil,468,62.570
Bulgária,-,-
Canada,-,-
Chile,68.562,243.004
Croácia,-,-
Cuba,-,-
Emirados Árabes Unidos,-,-
Eslovênia,-,-
Espanha,512.539,1.904.476
Estados Unidos,11.387,49.664
França,1.462.949,17.012.302
Geórgia,-,-
Granada,-,-
Grécia,-,-
Hong Kong,-,-
Hungria,-,-
Indonésia,-,-
Irlanda,-,-
Israel,1.224,5.467
Itália,1.079.836,4.703.738
Japão,-,-
Luxemburgo,-,-
México,396,834
Moldávia,-,-
Nova Zelândia,720,6.858
Países Baixos,-,-
Panamá,-,-
Peru,-,-
Portugal,74.184,326.868
Reino Unido,-,-
Romênia,-,-
Suíça,-,-
Tunísia,-,-
Ucrânia,-,-
Uruguai,5.850,19.080
Não consta na tabela,-,-
Não declarados,-,-
Outros,-,-
Total,4.314.253,27.961.112
