Países,Quantidade (Kg),Valor (US$)
Africa do Sul,1.092.042,3.604.038
Alemanha,101.055,412.794
Argélia,-,-
Arábia Saudita,-,-
Argentina,16.548.931,54.527.380
Armênia,-,-
Austrália,16.292,1.214.643
Áustria,348.289,128.379
Bermudas,-,-
Bélgica,7,30
Bolívia,-,-
Bósnia-Herzegovina,-,-
Brasil,29.295,246.008
Bulgária,10.944,9.915
Canada,-,-
Chile,52.697.108,145.471.294
China,317,2.458
"Coreia do Sul, República",-,-
Croácia,450,2.900
Cuba,-,-
Emirados Árabes Unidos,-,-
Eslovênia,30.968,101.190
Eslováquia,459,3.160
Espanha,5.797.980,17.111.436
Estados Unidos,534.870,2.400.830
França,5.324.383,24.299.524
Geórgia,21.748,41.161
"Geórgia do Sul e Sandwich do Sul, Ilhas",-,-
Grécia,21.251,70.881
Hong Kong,-,-
Hungria,34.591,146.500
Indonésia,258,1.464
Irlanda,179,1.705
Israel,52.237,182.602
Itália,10.323.254,33.355.982
Japão,153,1.429
Iugoslávia,-,-
Líbano,21.836,167.358
Luxemburgo,-,-
Macedônia,1.323,874
Marrocos,2.250,16.816
México,646,3.927
Moldávia,-,-
Montenegro,1.701,5.440
Noruega,-,-
Nova Zelândia,133.179,776.830
Países Baixos (Holanda),634,5.297
Panamá,17,96
Paraguai,-,-
Peru,-,-
Porto Rico,21,115
Portugal,18.228.699,51.444.189
Reino Unido,4.819,46.623
Republica Dominicana,-,-
Romênia,5.196,6.706
Rússia,-,-
San Marino,-,-
Sérvia,-,-
Síria,641,409
Suazilândia,-,-
Suíça,4.510,63.619
"Tcheca, República",-,-
Tunísia,-,-
Turquia,-,-
Ucrânia,4.646,3.074
Uruguai,2.778.244,7.938.059
Não consta na tabela,-,-
Não declarados,-,-
Outros,-,-
Total,114.175.423,343.817.135
