Países,Quantidade (Kg),Valor (US$)
Africa do Sul,658.238,2.133.775
Alemanha,121.002,805.466
Argélia,-,-
Arábia Saudita,-,-
Argentina,26.272.478,93.869.579
Armênia,-,-
Austrália,422.720,1.437.842
Áustria,17.796,104.965
Bermudas,-,-
Bélgica,-,-
Bolívia,-,-
Bósnia-Herzegovina,4.883,9.862
Brasil,71.637,147.179
Bulgária,25.718,62.739
Canada,203,18.258
Chile,73.111.416,199.874.777
China,-,-
"Coreia do Sul, República",-,-
Croácia,-,-
Cuba,-,-
Emirados Árabes Unidos,-,-
Eslovênia,17.671,61.546
Eslováquia,-,-
Espanha,6.828.739,18.867.752
Estados Unidos,273.198,1.919.231
França,4.700.023,30.175.837
Geórgia,9.998,15.541
"Geórgia do Sul e Sandwich do Sul, Ilhas",2.937,4.692
Grécia,41.071,171.795
Hong Kong,-,-
Hungria,27.820,238.501
Indonésia,-,-
Irlanda,-,-
Israel,37.533,183.392
Itália,9.861.350,39.485.660
Japão,411,4.363
Iugoslávia,-,-
Líbano,8.730,45.866
Luxemburgo,6,59
Macedônia,-,-
Marrocos,-,-
México,-,-
Moldávia,58.609,158.610
Montenegro,-,-
Noruega,-,-
Nova Zelândia,39.629,279.820
Países Baixos (Holanda),810,8.649
Panamá,-,-
Paraguai,1,21
Peru,-,-
Porto Rico,-,-
Portugal,27.460.645,81.087.293
Reino Unido,680,13.781
Republica Dominicana,-,-
Romênia,24.660,55.142
Rússia,-,-
San Marino,-,-
Sérvia,2.445,4.140
Síria,-,-
Suazilândia,-,-
Suíça,541,3.939
"Tcheca, República",-,-
Tunísia,-,-
Turquia,3.203,4.997
Ucrânia,-,-
Uruguai,3.015.429,9.827.906
Não consta na tabela,-,-
Não declarados,-,-
Outros,-,-
Total,153.122.230,481.082.975
