Países,Quantidade (Kg),Valor (US$)
Africa do Sul,722.327,3.041.449
Alemanha,113.243,591.167
Argélia,-,-
Arábia Saudita,-,-
Argentina,14.613.839,55.633.562
Armênia,-,-
Austrália,615.334,2.474.783
Áustria,8.098,85.116
Bermudas,-,-
Bélgica,-,-
Bolívia,-,-
Bósnia-Herzegovina,-,-
Brasil,1.051,15.016
Bulgária,-,-
Canada,-,-
Chile,30.258.795,93.315.735
China,-,-
"Coreia do Sul, República",-,-
Croácia,630,16.571
Cuba,-,-
Emirados Árabes Unidos,-,-
Eslovênia,433,1.223
Eslováquia,-,-
Espanha,2.540.209,11.724.946
Estados Unidos,379.329,1.995.929
França,3.181.440,21.636.175
Geórgia,-,-
"Geórgia do Sul e Sandwich do Sul, Ilhas",-,-
Grécia,68.966,323.206
Hong Kong,-,-
Hungria,10.404,168.862
Indonésia,-,-
Irlanda,-,-
Israel,8.439,47.579
Itália,10.506.144,30.750.897
Japão,-,-
Iugoslávia,-,-
Líbano,5.805,47.826
Luxemburgo,-,-
Macedônia,-,-
Marrocos,450,3.851
México,-,-
Moldávia,-,-
Montenegro,-,-
Noruega,-,-
Nova Zelândia,81.611,790.355
Países Baixos (Holanda),-,-
Panamá,-,-
Paraguai,-,-
Peru,-,-
Porto Rico,-,-
Portugal,9.714.940,36.190.898
Reino Unido,406,26.466
Republica Dominicana,-,-
Romênia,33.750,85.321
Rússia,-,-
San Marino,-,-
Sérvia,-,-
Síria,-,-
Suazilândia,-,-
Suíça,-,-
"Tcheca, República",-,-
Tunísia,19.913,42.918
Turquia,-,-
Ucrânia,-,-
Uruguai,1.323.884,3.735.892
Não consta na tabela,-,-
Não declarados,-,-
Outros,-,-
Total,74.209.440,262.745.743
