Países,Quantidade (Kg),Valor (US$)
Africa do Sul,1.127.053,3.574.371
Alemanha,142.971,516.975
Argélia,-,-
Arábia Saudita,563,3.249
Argentina,15.221.318,52.817.642
Armênia,-,-
Austrália,3.518,21.664
Áustria,513.995,1.567.866
Bermudas,-,-
Bélgica,163,1.201
Bolívia,-,-
Bósnia-Herzegovina,-,-
Brasil,18.040,121.806
Bulgária,16.166,17.550
Canada,301,17.418
Chile,51.104.825,144.731.210
China,5,472
"Coreia do Sul, República",-,-
Croácia,-,-
Cuba,-,-
Emirados Árabes Unidos,-,-
Eslovênia,20.976,68.521
Eslováquia,10.800,17.938
Espanha,5.595.268,19.353.631
Estados Unidos,548.655,2.584.781
França,4.653.789,22.688.105
Geórgia,8.164,20.416
"Geórgia do Sul e Sandwich do Sul, Ilhas",-,-
Grécia,41.601,135.185
Hong Kong,-,-
Hungria,23.742,113.405
Indonésia,36,210
Irlanda,107,954
Israel,40.354,182.017
Itália,10.154.564,34.857.594
Japão,-,-
Iugoslávia,-,-
Líbano,19.742,150.044
Luxemburgo,5,42
Macedônia,-,-
Marrocos,-,-
México,134,804
Moldávia,-,-
Montenegro,-,-
Noruega,-,-
Nova Zelândia,130.854,686.193
Países Baixos (Holanda),283,8.719
Panamá,-,-
Paraguai,-,-
Peru,77,653
Porto Rico,47,404
Portugal,17.698.831,53.237.413
Reino Unido,4.126,51.034
Republica Dominicana,2,13
Romênia,13.719,9.695
Rússia,17.483,66.160
San Marino,-,-
Sérvia,-,-
Síria,-,-
Suazilândia,-,-
Suíça,559,7.647
"Tcheca, República",-,-
Tunísia,-,-
Turquia,1.591,1.245
Ucrânia,-,-
Uruguai,2.836.574,8.467.846
Não consta na tabela,-,-
Não declarados,-,-
Outros,-,-
Total,109.971.001,346.102.093
