Países,Quantidade (Kg),Valor (US$)
Africa do Sul,507.509,2.136.394
Alemanha,198.025,933.545
Argélia,-,-
Arábia Saudita,-,-
Argentina,16.673.491,58.806.736
Armênia,-,-
Austrália,824.440,2.811.273
Áustria,6.357,56.227
Bermudas,-,-
Bélgica,-,-
Bolívia,-,-
Bósnia-Herzegovina,-,-
Brasil,93,1.164
Bulgária,1.097,2.527
Canada,2.322,35.032
Chile,26.642.889,84.952.500
China,-,-
"Coreia do Sul, República",-,-
Croácia,450,12.388
Cuba,-,-
Emirados Árabes Unidos,-,-
Eslovênia,3.600,62.602
Eslováquia,-,-
Espanha,1.999.970,11.175.636
Estados Unidos,369.806,1.756.901
França,3.329.437,22.917.012
Geórgia,-,-
"Geórgia do Sul e Sandwich do Sul, Ilhas",-,-
Grécia,82.207,414.329
Hong Kong,-,-
Hungria,15.073,256.240
Indonésia,-,-
Irlanda,-,-
Israel,16.382,68.676
Itália,12.025.827,35.481.781
Japão,-,-
Iugoslávia,-,-
Líbano,17.685,137.954
Luxemburgo,-,-
Macedônia,-,-
Marrocos,-,-
México,-,-
Moldávia,-,-
Montenegro,-,-
Noruega,-,-
Nova Zelândia,151.194,1.267.863
Países Baixos (Holanda),-,-
Panamá,-,-
Paraguai,-,-
Peru,-,-
Porto Rico,-,-
Portugal,8.556.375,35.247.223
Reino Unido,270,6.021
Republica Dominicana,-,-
Romênia,-,-
Rússia,-,-
San Marino,-,-
Sérvia,-,-
Síria,-,-
Suazilândia,-,-
Suíça,-,-
"Tcheca, República",-,-
Tunísia,16.420,37.492
Turquia,-,-
Ucrânia,-,-
Uruguai,1.264.306,3.481.552
Não consta na tabela,-,-
Não declarados,-,-
Outros,-,-
Total,72.705.225,262.059.068
