Países,Quantidade (Kg),Valor (US$)
Afeganistão,125.000,179.545
África do Sul,1.418.063,3.278.109
"Alemanha, República Democrática",-,-
Arábia Saudita,-,-
Argentina,20.905.602,32.341.307
Austrália,-,-
Bélgica,-,-
Chile,747.700,1.522.661
China,-,-
China Continental,-,-
Cingapura,-,-
Costa Rica,-,-
Emirados,40.000,95.856
Egito,-,-
Espanha,-,-
Estados Unidos,350.138,1.034.494
França,658,4.705
Grécia,-,-
Guiana Britânica,-,-
Índia,57.000,60.717
Irã,184.500,418.722
Itália,-,-
Japão,-,-
México,-,-
Países Baixos,-,-
Paraguai,-,-
Peru,-,-
Portugal,250,445
Reino Unido,25,426
Suécia,-,-
Turquia,1.006.000,1.666.760
Uruguai,-,-
Uzbequistão,-,-
Venezuela,-,-
Não consta na tabela,-,-
Outros,-,-
Total,24.834.936,40.603.747
