Países,Quantidade (Kg),Valor (US$)
Africa do Sul,26.985,158.325
Alemanha,1.247,11.745
Argentina,702.963,2.545.215
Austrália,30,419
Áustria,720,6.050
Bermudas,-,-
Bahamas,-,-
Bélgica,-,-
Brasil,10.195,44.337
Bulgária,-,-
Canada,-,-
Chile,123.026,478.646
Croácia,-,-
Cuba,-,-
Emirados Árabes Unidos,-,-
Eslovênia,-,-
Espanha,850.428,3.917.939
Estados Unidos,15.698,50.841
França,1.491.052,22.873.679
Geórgia,-,-
Granada,-,-
Grécia,113,222
Hong Kong,283,1.593
Hungria,1.020,2.984
Indonésia,-,-
Irlanda,-,-
Israel,-,-
Itália,978.230,4.223.637
Japão,-,-
Luxemburgo,-,-
México,-,-
Moldávia,-,-
Nova Zelândia,180,1.950
Países Baixos,-,-
Panamá,-,-
Peru,-,-
Portugal,66.552,331.054
Reino Unido,-,-
Romênia,-,-
Suíça,-,-
Tunísia,800,3.887
Ucrânia,-,-
Uruguai,-,-
Não consta na tabela,-,-
Não declarados,-,-
Outros,-,-
Total,4.269.522,34.652.523
