Países,Quantidade (Kg),Valor (US$)
Africa do Sul,15.368,74.800
Alemanha,18.376,82.273
Argentina,706.478,2.462.909
Austrália,57.917,212.199
Áustria,1.228,11.638
Bermudas,-,-
Bahamas,169,2.283
Bélgica,-,-
Brasil,566.215,162.992
Bulgária,-,-
Canada,3.852,109.402
Chile,316.293,1.312.445
Croácia,-,-
Cuba,-,-
Emirados Árabes Unidos,-,-
Eslovênia,1.800,8.860
Espanha,1.515.106,5.707.839
Estados Unidos,26.405,64.081
França,3.637.804,12.678.962
Geórgia,-,-
Granada,-,-
Grécia,-,-
Hong Kong,-,-
Hungria,1.802,5.977
Indonésia,35,271
Irlanda,-,-
Israel,-,-
Itália,2.147.490,5.947.967
Japão,-,-
Luxemburgo,208,1.902
México,95,777
Moldávia,-,-
Nova Zelândia,-,-
Países Baixos,305,10.695
Panamá,15.057,30.546
Peru,-,-
Portugal,128.802,526.987
Reino Unido,3.834,104.831
Romênia,-,-
Suíça,576,4.031
Tunísia,-,-
Ucrânia,-,-
Uruguai,776,5.786
Não consta na tabela,-,-
Não declarados,-,-
Outros,-,-
Total,9.165.991,29.530.453
