Países,Quantidade (Kg),Valor (US$)
Africa do Sul,4.913,23.919
Alemanha,4.819,37.116
Argentina,661.857,2.249.681
Austrália,19.198,51.731
Áustria,-,-
Bermudas,-,-
Bahamas,519,11.136
Bélgica,923,50.574
Brasil,6.166,180.512
Bulgária,3,716
Canada,-,-
Chile,304.391,1.350.744
Croácia,-,-
Cuba,-,-
Emirados Árabes Unidos,-,-
Eslovênia,2.093,10.110
Espanha,1.493.908,5.592.839
Estados Unidos,8.408,226.792
França,1.778.528,14.966.946
Geórgia,-,-
Granada,-,-
Grécia,156,277
Hong Kong,-,-
Hungria,1.624,6.960
Indonésia,-,-
Irlanda,-,-
Israel,-,-
Itália,3.065.767,5.635.842
Japão,-,-
Luxemburgo,-,-
México,-,-
Moldávia,-,-
Nova Zelândia,-,-
Países Baixos,-,-
Panamá,-,-
Peru,-,-
Portugal,123.786,492.083
Reino Unido,350,2.424
Romênia,-,-
Suíça,-,-
Tunísia,-,-
Ucrânia,-,-
Uruguai,1.080,7.920
Não consta na tabela,-,-
Não declarados,-,-
Outros,-,-
Total,7.478.489,30.898.322
