Países,Quantidade (Kg),Valor (US$)
Africa do Sul,19.686,96.316
Alemanha,3.647,5.589
Argentina,490.536,1.814.349
Austrália,4.967,15.439
Áustria,-,-
Bermudas,-,-
Bahamas,73,684
Bélgica,-,-
Brasil,6.383,47.936
Bulgária,4,7
Canada,-,-
Chile,236.342,838.250
Croácia,225,483
Cuba,29,243
Emirados Árabes Unidos,104,2.005
Eslovênia,1.058,5.075
Espanha,899.587,4.183.324
Estados Unidos,18.519,85.864
França,1.341.884,21.849.752
Geórgia,-,-
Granada,-,-
Grécia,577,1.574
Hong Kong,-,-
Hungria,-,-
Indonésia,-,-
Irlanda,391,4.062
Israel,-,-
Itália,1.017.420,3.670.403
Japão,-,-
Luxemburgo,-,-
México,1.154,9.334
Moldávia,-,-
Nova Zelândia,135,1.684
Países Baixos,-,-
Panamá,-,-
Peru,-,-
Portugal,59.472,223.379
Reino Unido,467,4.211
Romênia,488,528
Suíça,-,-
Tunísia,-,-
Ucrânia,-,-
Uruguai,1.760,2.832
Não consta na tabela,-,-
Não declarados,-,-
Outros,-,-
Total,4.104.908,32.863.323
