Países,Quantidade (Kg),Valor (US$)
Africa do Sul,7.394,50.715
Alemanha,3.420,8.275
Argentina,358.510,1.240.249
Austrália,19.182,32.115
Áustria,-,-
Bermudas,-,-
Bahamas,60,688
Bélgica,-,-
Brasil,1.014,4.936
Bulgária,-,-
Canada,-,-
Chile,117.678,523.242
Croácia,-,-
Cuba,-,-
Emirados Árabes Unidos,2.371,38.954
Eslovênia,2.115,9.486
Espanha,864.154,3.249.876
Estados Unidos,12.343,30.366
França,1.171.383,12.017.375
Geórgia,-,-
Granada,-,-
Grécia,-,-
Hong Kong,-,-
Hungria,1.238,5.927
Indonésia,-,-
Irlanda,-,-
Israel,-,-
Itália,1.089.617,3.467.993
Japão,-,-
Luxemburgo,-,-
México,-,-
Moldávia,-,-
Nova Zelândia,-,-
Países Baixos,-,-
Panamá,-,-
Peru,-,-
Portugal,88.448,321.629
Reino Unido,-,-
Romênia,-,-
Suíça,11,711
Tunísia,-,-
Ucrânia,1.739,2.423
Uruguai,7.880,42.863
Não consta na tabela,-,-
Não declarados,-,-
Outros,-,-
Total,3.748.557,21.047.823
