Países,Quantidade (Kg),Valor (US$)
Africa do Sul,10.381,42.463
Alemanha,1.170,8.434
Argentina,894.550,2.730.102
Austrália,225,2.108
Áustria,-,-
Bermudas,-,-
Bahamas,-,-
Bélgica,-,-
Brasil,-,-
Bulgária,-,-
Canada,-,-
Chile,39.533,165.731
Croácia,-,-
Cuba,-,-
Emirados Árabes Unidos,-,-
Eslovênia,-,-
Espanha,388.452,1.397.582
Estados Unidos,7.119,25.952
França,1.130.768,11.933.677
Geórgia,-,-
Granada,-,-
Grécia,-,-
Hong Kong,-,-
Hungria,-,-
Indonésia,-,-
Irlanda,-,-
Israel,-,-
Itália,693.765,2.984.665
Japão,-,-
Luxemburgo,-,-
México,-,-
Moldávia,-,-
Nova Zelândia,630,5.106
Países Baixos,-,-
Panamá,-,-
Peru,-,-
Portugal,31.170,164.404
Reino Unido,-,-
Romênia,-,-
Suíça,-,-
Tunísia,-,-
Ucrânia,-,-
Uruguai,900,10.200
Não consta na tabela,-,-
Não declarados,-,-
Outros,972,2.665
Total,3.199.635,19.473.089
