Países,Quantidade (Kg),Valor (US$)
Africa do Sul,738.116,2.266.827
Alemanha,92.600,438.595
Argélia,-,-
Arábia Saudita,-,-
Argentina,27.980.574,87.519.642
Armênia,2.385,13.668
Austrália,579.279,1.590.059
Áustria,7.403,53.974
Bermudas,1,4
Bélgica,-,-
Bolívia,-,-
Bósnia-Herzegovina,-,-
Brasil,1,5
Bulgária,29.929,43.221
Canada,884,11.607
Chile,68.881.232,184.335.335
China,-,-
"Coreia do Sul, República",-,-
Croácia,887,35.563
Cuba,-,-
Emirados Árabes Unidos,-,-
Eslovênia,31.509,127.726
Eslováquia,-,-
Espanha,6.487.047,17.187.749
Estados Unidos,393.211,3.023.220
França,4.911.903,25.955.232
Geórgia,12.506,26.983
"Geórgia do Sul e Sandwich do Sul, Ilhas",1.788,2.797
Grécia,45.440,148.515
Hong Kong,-,-
Hungria,29.260,160.168
Indonésia,-,-
Irlanda,-,-
Israel,19.589,82.489
Itália,9.622.119,33.330.465
Japão,-,-
Iugoslávia,-,-
Líbano,30.149,182.548
Luxemburgo,-,-
Macedônia,-,-
Marrocos,13.932,46.497
México,-,-
Moldávia,38.336,70.282
Montenegro,-,-
Noruega,-,-
Nova Zelândia,52.265,403.597
Países Baixos (Holanda),-,-
Panamá,-,-
Paraguai,-,-
Peru,17.861,84.084
Porto Rico,-,-
Portugal,24.108.787,64.795.326
Reino Unido,1.655,19.595
Republica Dominicana,-,-
Romênia,47.715,99.616
Rússia,-,-
San Marino,-,-
Sérvia,-,-
Síria,1.094,5.187
Suazilândia,-,-
Suíça,-,-
"Tcheca, República",4.950,12.044
Tunísia,-,-
Turquia,22.087,38.817
Ucrânia,-,-
Uruguai,3.394.161,9.867.675
Não consta na tabela,-,-
Não declarados,-,-
Outros,-,-
Total,147.600.655,431.979.112
