Países,Quantidade (Kg),Valor (US$)
Africa do Sul,859.169,2.508.140
Alemanha,106.541,546.967
Argélia,-,-
Arábia Saudita,2.510,8.761
Argentina,26.869.241,79.527.959
Armênia,-,-
Austrália,366.875,1.383.093
Áustria,13.427,141.822
Bermudas,10,141
Bélgica,-,-
Bolívia,-,-
Bósnia-Herzegovina,-,-
Brasil,12.602,39.816
Bulgária,34.185,105.623
Canada,-,-
Chile,69.617.587,182.568.098
China,-,-
"Coreia do Sul, República",-,-
Croácia,17.343,78.954
Cuba,-,-
Emirados Árabes Unidos,-,-
Eslovênia,42.944,172.141
Eslováquia,-,-
Espanha,8.793.911,23.795.616
Estados Unidos,506.405,2.809.649
França,6.241.310,31.428.188
Geórgia,19.188,32.901
"Geórgia do Sul e Sandwich do Sul, Ilhas",1.838,2.915
Grécia,13.619,55.228
Hong Kong,-,-
Hungria,20.174,160.816
Indonésia,-,-
Irlanda,-,-
Israel,60.281,298.732
Itália,11.231.625,39.852.162
Japão,-,-
Iugoslávia,-,-
Líbano,24.194,78.872
Luxemburgo,-,-
Macedônia,-,-
Marrocos,986,6.958
México,4,19
Moldávia,25.998,66.480
Montenegro,-,-
Noruega,-,-
Nova Zelândia,21.995,137.547
Países Baixos (Holanda),-,-
Panamá,-,-
Paraguai,-,-
Peru,-,-
Porto Rico,-,-
Portugal,25.925.363,75.668.823
Reino Unido,1.164,9.357
Republica Dominicana,-,-
Romênia,33.770,99.562
Rússia,32.179,64.905
San Marino,1.095,2.237
Sérvia,3.471,8.302
Síria,484,1.280
Suazilândia,-,-
Suíça,7,157
"Tcheca, República",225,5.528
Tunísia,-,-
Turquia,-,-
Ucrânia,-,-
Uruguai,3.788.831,10.063.341
Não consta na tabela,-,-
Não declarados,-,-
Outros,-,-
Total,154.690.551,451.731.090
