Países,Quantidade (Kg),Valor (US$)
África do Sul,-,-
Alemanha,142,265
Angola,-,-
Antigua e Barbuda,10,82
Antilhas Holandesas,-,-
Argentina,-,-
Aruba,-,-
Australia,184,654
Bahamas,179,461
Bangladesh,1,28
Barbados,4,58
Belgica,-,-
Benin,-,-
Bermudas,-,-
Bolívia,21.235,64.988
Bósnia-Herzegovina,-,-
Bulgaria,-,-
Cabo Verde,2,12
Camarões,-,-
Canada,253,566
Catar,5,964
"Cayman, Ilhas",1,5
Chile,72,361
China,13.692,49.572
Chipre,122,350
Cingapura,-,-
Colombia,10.280,37.207
"Coreia do Sul, Republica da",82,200
Costa Rica,-,-
Cuba,-,-
Curaçao,5.525,21.633
Dinamarca,7,32
Djibuti,-,-
Dominica,204,505
El Salvador,-,-
Emirados Arabes Unidos,90,3.240
Equador,-,-
Espanha,-,-
Estados Unidos,801.082,2.123.710
Estonia,-,-
Falkland (Malvinas),-,-
Filipinas,-,-
Filânldia,-,-
França,1.015,5.366
Gana,654,3.555
Gibraltar,-,-
Granada,-,-
Grécia,147,360
Guatemala,-,-
Guiana,-,-
Guiné Equatorial,-,-
Guiné-Bissau,-,-
Haiti,4.978,11.440
Honduras,-,-
Hong Kong,3.669,13.135
Hungria,96,668
Ilha de Man,-,-
Índia,0,26
Iraque,-,-
Irlanda,-,-
Islândia,-,-
Itália,172,879
Japão,6.811,27.860
Jordânia,-,-
Letônia,-,-
Líbano,540,1.930
Libéria,795,2.509
Luxemburgo,-,-
Maldivas,3.023,12.327
Malta,364,2.289
Marrocos,-,-
"Marshall, Ilhas",1.057,4.087
Montenegro,9,24
México,-,-
Nicarágua,-,-
Nigéria,-,-
Noruega,37,155
Nova Zelândia,-,-
Países Baixos (Holanda),86,479
Panamá,1.639,4.514
Paraguai,45.629,136.909
Peru,-,-
Polônia,-,-
Porto Rico,-,-
Portugal,21,135
Quênia,-,-
Reino Unido,7.130,45.041
Republica Dominicana,-,-
Republica Tcheca,-,-
Rússia,-,-
Serra Leoa,225,1.070
Sérvia,-,-
Singapura,525,926
Suécia,-,-
Suíça,1.074,4.739
Suriname,880,4.202
Tailândia,22,142
Taiwan (Formosa),1.255,5.578
"Tcheca, República",-,-
Togo,-,-
Trinidade e Tobago,-,-
Turquia,74,258
Uruguai,-,-
Vanuatu,-,-
Venezuela,-,-
Vietnã,144,374
Outros(1),-,-
Total,935.243,2.595.870
