Países,Quantidade (Kg),Valor (US$)
África do Sul,-,-
Alemanha,2.388,14.767
Angola,24,38
Antigua e Barbuda,32,328
Antilhas Holandesas,-,-
Argentina,315,894
Aruba,-,-
Australia,144,503
Bahamas,434,1.033
Bangladesh,-,-
Barbados,57,105
Belgica,-,-
Benin,24,181
Bermudas,-,-
Bolívia,5.994,16.901
Bósnia-Herzegovina,168,161
Bulgaria,-,-
Cabo Verde,-,-
Camarões,-,-
Canada,413,3.063
Catar,78,6.651
"Cayman, Ilhas",-,-
Chile,90,346
China,29.921,103.986
Chipre,307,1.019
Cingapura,-,-
Colombia,24.578,74.854
"Coreia do Sul, Republica da",24,53
Costa Rica,-,-
Cuba,-,-
Curaçao,2.186,8.451
Dinamarca,452,1.798
Djibuti,-,-
Dominica,-,-
El Salvador,-,-
Emirados Arabes Unidos,9,36
Equador,-,-
Espanha,29,230
Estados Unidos,634.243,1.647.310
Estonia,-,-
Falkland (Malvinas),-,-
Filipinas,-,-
Filânldia,1.078,7.065
França,7.481,37.286
Gana,-,-
Gibraltar,-,-
Granada,-,-
Grécia,97,309
Guatemala,760,4.318
Guiana,-,-
Guiné Equatorial,-,-
Guiné-Bissau,-,-
Haiti,1.331,2.737
Honduras,-,-
Hong Kong,4.124,11.770
Hungria,-,-
Ilha de Man,-,-
Índia,25,80
Iraque,-,-
Irlanda,-,-
Islândia,10,45
Itália,150,253
Japão,7.294,28.930
Jordânia,30,103
Letônia,-,-
Líbano,-,-
Libéria,1.105,6.684
Luxemburgo,-,-
Maldivas,-,-
Malta,1.692,2.862
Marrocos,-,-
"Marshall, Ilhas",2.093,4.587
Montenegro,-,-
México,-,-
Nicarágua,-,-
Nigéria,4.613,15.728
Noruega,172,321
Nova Zelândia,-,-
Países Baixos (Holanda),38,717
Panamá,7.163,15.019
Paraguai,16.231,48.614
Peru,-,-
Polônia,14,19
Porto Rico,-,-
Portugal,631,11.065
Quênia,-,-
Reino Unido,8.084,42.414
Republica Dominicana,-,-
Republica Tcheca,-,-
Rússia,-,-
Serra Leoa,450,2.140
Sérvia,-,-
Singapura,979,2.193
Suécia,-,-
Suíça,672,227
Suriname,-,-
Tailândia,16,287
Taiwan (Formosa),995,4.212
"Tcheca, República",-,-
Togo,-,-
Trinidade e Tobago,-,-
Turquia,18,75
Uruguai,1.796,15.322
Vanuatu,14,31
Venezuela,-,-
Vietnã,-,-
Outros(1),-,-
Total,771.066,2.148.121
