Países,Quantidade (Kg),Valor (US$)
África do Sul,78,1.353
Alemanha,22.542,77.981
Angola,-,-
Antigua e Barbuda,23,100
Antilhas Holandesas,-,-
Argentina,10.497,91.831
Aruba,-,-
Australia,-,-
Bahamas,18,236
Bangladesh,-,-
Barbados,5,7
Belgica,46,297
Benin,-,-
Bermudas,-,-
Bolívia,-,-
Bósnia-Herzegovina,-,-
Bulgaria,-,-
Cabo Verde,-,-
Camarões,-,-
Canada,1.188,4.215
Catar,-,-
"Cayman, Ilhas",2,10
Chile,2.322,14.808
China,3.834,16.484
Chipre,45,232
Cingapura,-,-
Colombia,1.080,4.018
"Coreia do Sul, Republica da",197,658
Costa Rica,-,-
Cuba,-,-
Curaçao,4.298,21.026
Dinamarca,3.820,51.044
Djibuti,271,1.396
Dominica,477,2.224
El Salvador,-,-
Emirados Arabes Unidos,-,-
Equador,-,-
Espanha,180,2.606
Estados Unidos,110.205,394.394
Estonia,-,-
Falkland (Malvinas),-,-
Filipinas,6,64
Filânldia,-,-
França,544,3.006
Gana,6.624,30.240
Gibraltar,-,-
Granada,-,-
Grécia,114,387
Guatemala,-,-
Guiana,-,-
Guiné Equatorial,-,-
Guiné-Bissau,-,-
Haiti,854,2.027
Honduras,-,-
Hong Kong,369,1.730
Hungria,-,-
Ilha de Man,-,-
Índia,-,-
Iraque,-,-
Irlanda,-,-
Islândia,-,-
Itália,191,1.471
Japão,3.096,12.533
Jordânia,-,-
Letônia,59.026,204.119
Líbano,-,-
Libéria,1.109,3.018
Luxemburgo,-,-
Maldivas,4.270,17.948
Malta,152,1.184
Marrocos,11.640,75.036
"Marshall, Ilhas",1.056,4.625
Montenegro,-,-
México,117,459
Nicarágua,-,-
Nigéria,-,-
Noruega,5,28
Nova Zelândia,-,-
Países Baixos (Holanda),2.720,15.527
Panamá,1.400,6.076
Paraguai,56.735,195.503
Peru,1.373,10.418
Polônia,-,-
Porto Rico,-,-
Portugal,17.780,114.156
Quênia,-,-
Reino Unido,9.416,62.958
Republica Dominicana,-,-
Republica Tcheca,-,-
Rússia,-,-
Serra Leoa,586,3.025
Sérvia,1.244,4.843
Singapura,309,1.046
Suécia,-,-
Suíça,26.632,82.852
Suriname,-,-
Tailândia,-,-
Taiwan (Formosa),-,-
"Tcheca, República",360,5.403
Togo,1.890,10.358
Trinidade e Tobago,-,-
Turquia,-,-
Uruguai,88.429,302.751
Vanuatu,-,-
Venezuela,-,-
Vietnã,-,-
Outros(1),-,-
Total,459.175,1.857.711
