Países,Quantidade (Kg),Valor (US$)
Africa do Sul,30,136
"Alemanha, República Democrática",1.701.887,4.101.648
Angola,-,-
Antígua e Barbuda,260,1.173
Arabia Saudita,2.234,19.382
Argélia,-,-
Argentina,2.265.038,5.234.176
Áustria,20,41
Bahamas,4.871,19.408
Bahrein,-,-
Bangladesh,141,402
Barbados,237,874
Barein,622,2.602
Bélgica,254,1.056
Belize,52,125
Bermudas,194,821
Bolívia,261.712,151.770
Bósnia,-,-
Brasil,170,470
Bulgária,-,-
Burquina Faso,-,-
Cabo Verde,-,-
Camarões,10,66
Camores,-,-
Canadá,1.175.975,3.667.725
Catar,2.210,6.616
"Cayman, Ilhas",278,1.007
Chile,10,38
China,1.210,5.500
Chipre,1.633,5.538
Cingapura,-,-
"Cocos (Keeling), Ilhas",-,-
"Cook, Ilhas",116,839
Colômbia,-,-
Congo,-,-
Coreia do Norte,-,-
Coreia do Sul,366,1.376
Costa do Marfim,-,-
Coveite,3.725,22.339
Croácia,5,12
Curaçao,-,-
Dinamarca,115.901,264.623
Djibuti,-,-
Egito,50,153
Emirados Árabes Unidos,177.198,672.359
Eslovênia,-,-
Espanha,4.177.500,7.656.023
Estados Unidos,19.529.155,58.146.305
Falkland (Ilhas Malvinas),-,-
"Faroé, Ilhas",-,-
Filipinas,171,530
Finlândia,1,21
França,428,2.040
Gabão,83,316
Gana,-,-
Georgia,-,-
Gibraltar,114,472
Grécia,3.036,9.131
Guadalupe,-,-
Guiana,4.999,17.249
Guiana Francesa,705,3.500
Guiné-Bissau,-,-
Guine Equatorial,-,-
Honduras,-,-
Hong Kong,27.717,136.684
Ilha de Man,311,1.282
Ilhas Virgens,-,-
Índia,510,1.781
Indonésia,-,-
Irã,-,-
Iraque,-,-
Irlanda,629.421,1.732.292
Islândia,-,-
Itália,29.040,96.548
Japão,393,1.413
Jérsei,-,-
Jordânia,-,-
Letônia,44,92
Líbano,147,514
Libéria,13.876,55.239
Líbia,5,32
Lituânia,46.041,117.335
Luxemburgo,24,123
Macedônia,10,42
Malásia,74,335
Malta,5.282,21.528
"Marianas do Norte, Ilhas",-,-
Marrocos,-,-
"Marshall, Ilhas",14.858,59.743
Martinica,5,37
Mauricio,-,-
Mauritânia,-,-
Mexico,30,78
Mônaco,-,-
Mongólia,-,-
Montenegro,-,-
Nigéria,-,-
Noruega,464.880,1.524.584
Omã,-,-
Países Baixos,26.855.736,62.427.840
Palau,115,307
Panamá,15.613,58.337
Paquistão,-,-
Paraguai,-,-
Pitcairn,17,68
Polônia,66,124
Porto Rico,-,-
Portugal,14.824,45.165
Quirguistão,20,121
Reino Unido,15.358.148,37.383.249
Republica Dominicana,-,-
Romênia,-,-
"Rússia,  Federação da",-,-
Samoa Americana,-,-
São Cristóvão e Névis,36,152
São Tomé e Príncipe,-,-
São Vicente e Granadinas,20,83
Serra Leoa,2,5
Senegal,-,-
Singapura,15.407,100.508
Sri Lanka,20,30
Suazilândia,-,-
Suécia,-,-
Suíça,3.632,53.106
Suriname,-,-
Tailândia,794,3.413
Taiwan,83,293
Tanzânia,19,76
Togo,-,-
Trindade e Tobago,-,-
Tunísia,-,-
"Turcas e Caicos, ilhas",-,-
Turquia,334,976
Tuvalu,-,-
Uruguai,281.594,547.227
Vanuatu,31,88
Venezuela,-,-
Vietnã,63,177
"Wallis e Futuna, Ilhas",-,-
Provisão de Navios e Aeronaves,-,-
Total,73.211.843,184.388.889
