Países,Quantidade (Kg),Valor (US$)
Africa do Sul,44,152
"Alemanha, República Democrática",1.371.694,2.791.556
Angola,-,-
Antígua e Barbuda,304,1.013
Arabia Saudita,32.325,95.999
Argélia,-,-
Argentina,2.002.784,3.707.550
Áustria,-,-
Bahamas,3.208,9.449
Bahrein,-,-
Bangladesh,30,214
Barbados,83,197
Barein,250,796
Bélgica,12.757,24.336
Belize,20,32
Bermudas,390,1.375
Bolívia,92.974,34.914
Bósnia,447,472
Brasil,-,-
Bulgária,100,170
Burquina Faso,-,-
Cabo Verde,-,-
Camarões,-,-
Camores,10,34
Canadá,86.635,457.420
Catar,336,432
"Cayman, Ilhas",341,1.130
Chile,266,826
China,1.197,3.370
Chipre,3.407,8.717
Cingapura,6.933,29.402
"Cocos (Keeling), Ilhas",-,-
"Cook, Ilhas",-,-
Colômbia,15,45
Congo,-,-
Coreia do Norte,30,119
Coreia do Sul,226,517
Costa do Marfim,-,-
Coveite,1.572,3.000
Croácia,16,104
Curaçao,-,-
Dinamarca,62.450,135.756
Djibuti,25,41
Egito,-,-
Emirados Árabes Unidos,220.576,630.862
Eslovênia,10,29
Espanha,1.743.131,3.842.045
Estados Unidos,7.879.841,22.376.155
Falkland (Ilhas Malvinas),15,100
"Faroé, Ilhas",25,98
Filipinas,441,1.135
Finlândia,-,-
França,1.419,11.552
Gabão,-,-
Gana,-,-
Georgia,-,-
Gibraltar,243,709
Grécia,2.802,6.767
Guadalupe,-,-
Guiana,1.432,3.754
Guiana Francesa,-,-
Guiné-Bissau,-,-
Guine Equatorial,-,-
Honduras,-,-
Hong Kong,19.362,198.977
Ilha de Man,136,411
Ilhas Virgens,-,-
Índia,502,1.167
Indonésia,13,40
Irã,218,531
Iraque,-,-
Irlanda,805.090,1.768.519
Islândia,40,61
Itália,118,301
Japão,779,2.157
Jérsei,-,-
Jordânia,31,75
Letônia,40,102
Líbano,33,119
Libéria,10.238,30.285
Líbia,20,55
Lituânia,-,-
Luxemburgo,-,-
Macedônia,-,-
Malásia,2.065,30.729
Malta,4.282,11.606
"Marianas do Norte, Ilhas",-,-
Marrocos,8,22
"Marshall, Ilhas",13.769,41.407
Martinica,-,-
Mauricio,-,-
Mauritânia,-,-
Mexico,-,-
Mônaco,20,59
Mongólia,10,15
Montenegro,40,147
Nigéria,-,-
Noruega,183.232,572.588
Omã,43,234
Países Baixos,20.360.309,40.052.845
Palau,-,-
Panamá,10.170,25.834
Paquistão,-,-
Paraguai,3.750,2.881
Pitcairn,-,-
Polônia,4,7
Porto Rico,-,-
Portugal,15.803,26.426
Quirguistão,-,-
Reino Unido,13.978.476,31.486.021
Republica Dominicana,-,-
Romênia,-,-
"Rússia,  Federação da",216.906,472.154
Samoa Americana,-,-
São Cristóvão e Névis,-,-
São Tomé e Príncipe,-,-
São Vicente e Granadinas,20,69
Serra Leoa,-,-
Senegal,-,-
Singapura,-,-
Sri Lanka,-,-
Suazilândia,-,-
Suécia,50,163
Suíça,2.209,20.998
Suriname,-,-
Tailândia,762,3.001
Taiwan,90,242
Tanzânia,-,-
Togo,-,-
Trindade e Tobago,-,-
Tunísia,-,-
"Turcas e Caicos, ilhas",18,51
Turquia,353,868
Tuvalu,-,-
Uruguai,68.196,58.419
Vanuatu,26,73
Venezuela,-,-
Vietnã,18,49
"Wallis e Futuna, Ilhas",-,-
Provisão de Navios e Aeronaves,-,-
Total,49.228.053,108.992.052
